subject,run,roi,var_expl_pc1,var_expl_pc23
sub-01,1,ANG,0.3474658660543305,0.2203930820329048
sub-01,2,ANG,0.3662248159395138,0.21623734602044364
sub-01,3,ANG,0.30908020693629357,0.2710926000125578
sub-01,4,ANG,0.2991795643933065,0.27592126066351297
sub-02,1,ANG,0.40851886533199877,0.16609045303317566
sub-02,2,ANG,0.4618486749055264,0.14041193006376795
sub-02,3,ANG,0.47621349942850927,0.1342760812727598
sub-02,4,ANG,0.5151248925584739,0.11773034618161621
sub-03,1,ANG,0.37638404446887314,0.236585147618171
sub-03,2,ANG,0.4587608703308624,0.19711132963541428
sub-03,3,ANG,0.45857222132952075,0.16811585495422832
sub-03,4,ANG,0.44261994983657565,0.18654234806804926
sub-04,1,ANG,0.4206447347345428,0.25781541805216424
sub-04,2,ANG,0.5700312492202293,0.1630911596307913
sub-04,3,ANG,0.6090591066341511,0.1423011825077894
sub-04,4,ANG,0.5959351480890743,0.15372341973831413
sub-07,1,ANG,0.4894373138956972,0.1733959211927688
sub-07,2,ANG,0.45038481786346096,0.1763336153239814
sub-07,3,ANG,0.5604021004648577,0.1287424550461648
sub-07,4,ANG,0.526062164630095,0.13115665128884918
sub-08,1,ANG,0.39353789181036664,0.17861425793247449
sub-08,2,ANG,0.39480448104029153,0.17333376011960022
sub-08,3,ANG,0.6009499240723133,0.10388415194684786
sub-08,4,ANG,0.4299653297714221,0.1648325420070323
sub-09,1,ANG,0.2697476631957305,0.3235078217710319
sub-09,2,ANG,0.26208959077921506,0.3356883844959824
sub-09,3,ANG,0.2670869069632884,0.30920684048506664
sub-09,4,ANG,0.27995854073211196,0.31956734291978445
sub-10,1,ANG,0.4164854642877777,0.17045162692871324
sub-10,2,ANG,0.46372673426465744,0.1430269095416896
sub-10,3,ANG,0.4466666160844104,0.18366667367312944
sub-10,4,ANG,0.45105965804223597,0.20051402881868616
sub-11,1,ANG,0.2659484285293099,0.24153507814254546
sub-11,2,ANG,0.32978939446403255,0.16643827803998018
sub-11,3,ANG,0.3515541416001027,0.16868700912523776
sub-11,4,ANG,0.34016229414709115,0.16891043867020863
sub-12,1,ANG,0.3316962366306152,0.2332237627827743
sub-12,2,ANG,0.3752198531902198,0.19870290672433555
sub-12,3,ANG,0.4309107994360301,0.18680550694290182
sub-12,4,ANG,0.47614439193827357,0.17011732187563783
sub-13,1,ANG,0.47293702033293344,0.17495932964090585
sub-13,2,ANG,0.4153886340219622,0.19750020974850288
sub-13,3,ANG,0.49909524971780467,0.19296173992377424
sub-13,4,ANG,0.4700128245775121,0.19632717821345078
sub-14,1,ANG,0.3914063233831795,0.2518627975528708
sub-14,2,ANG,0.4047470562480401,0.19384198995627389
sub-14,3,ANG,0.426530363554103,0.1889125987194008
sub-14,4,ANG,0.4593681813682835,0.18371801122411147
sub-15,1,ANG,0.3316479962138852,0.2478790145881181
sub-15,2,ANG,0.3843983592741295,0.20041678723199205
sub-15,3,ANG,0.40566388847095997,0.17537450436100102
sub-15,4,ANG,0.4693800519581622,0.15337765563242406
sub-16,1,ANG,0.40184269884624146,0.17747137350039
sub-16,2,ANG,0.5395517456440199,0.12240880793440953
sub-16,3,ANG,0.5122749351961947,0.13197385847997029
sub-16,4,ANG,0.5746813851884024,0.13284319702759181
sub-18,1,ANG,0.2864879764096576,0.28041171275158294
sub-18,2,ANG,0.34074661719109,0.21710060363828756
sub-18,3,ANG,0.3660351806421488,0.21475318085076112
sub-18,4,ANG,0.3621246922018726,0.19457822440768796
sub-19,1,ANG,0.3602381051462867,0.2563417674005489
sub-19,2,ANG,0.3820034496796518,0.19125203465190815
sub-19,3,ANG,0.40807046791711155,0.17685543635580253
sub-19,4,ANG,0.3679328896343502,0.1983529588545835
sub-21,1,ANG,0.30480847274592615,0.3334925159814992
sub-21,2,ANG,0.28198597942039344,0.3210872962826401
sub-21,3,ANG,0.2744271611736872,0.2945282804269054
sub-21,4,ANG,0.2871915097787211,0.26318669439124637
sub-22,1,ANG,0.3951378851938855,0.21559890696495945
sub-22,2,ANG,0.48761046826492427,0.18180323483214123
sub-22,3,ANG,0.4607196883902661,0.22174738357257828
sub-22,4,ANG,0.49684273058322964,0.16030802623551982
sub-23,1,ANG,0.5191455002488964,0.16426800893615484
sub-23,2,ANG,0.4242645571655914,0.19975247885709724
sub-23,3,ANG,0.5455994858417774,0.16187687336594264
sub-23,4,ANG,0.4261453099211084,0.21330289386624116
sub-24,1,ANG,0.3270469975530938,0.24026074752998772
sub-24,2,ANG,0.2993819699366244,0.2527950175905831
sub-24,3,ANG,0.3753167744859317,0.2101941467607567
sub-24,4,ANG,0.3289917378705311,0.23621298453571768
sub-01,1,PRC,0.373507159206983,0.29997117827938546
sub-01,2,PRC,0.37596869442176856,0.2693552498784689
sub-01,3,PRC,0.34852386511506395,0.2857010633652566
sub-01,4,PRC,0.30904382989177204,0.29807774822821453
sub-02,1,PRC,0.34159803796419785,0.3116150611018488
sub-02,2,PRC,0.3261006538037039,0.3088708248275619
sub-02,3,PRC,0.35111866350718224,0.3045760460866463
sub-02,4,PRC,0.3333291979196076,0.3542899317394792
sub-03,1,PRC,0.35064512381212914,0.3182806774413979
sub-03,2,PRC,0.3806355373607143,0.27106111770287983
sub-03,3,PRC,0.3793140519196562,0.2799565300238377
sub-03,4,PRC,0.4206527699330521,0.3031519896472159
sub-04,1,PRC,0.45269793475398945,0.24151217611165968
sub-04,2,PRC,0.5172294444942924,0.21933784058702932
sub-04,3,PRC,0.49442498416252695,0.23425554564602902
sub-04,4,PRC,0.4683875358697098,0.2601756131976066
sub-07,1,PRC,0.4028911195642805,0.29444927076932814
sub-07,2,PRC,0.5147978396733328,0.26436183344603487
sub-07,3,PRC,0.4572324841719251,0.27666181498969156
sub-07,4,PRC,0.4923109134452474,0.28626526705894106
sub-08,1,PRC,0.3247434447852354,0.2760085677155534
sub-08,2,PRC,0.42085216614364934,0.28633669700427133
sub-08,3,PRC,0.433710403249592,0.27367733311656683
sub-08,4,PRC,0.48927775483074176,0.2556299278342519
sub-09,1,PRC,0.4009692665316683,0.2636136403437423
sub-09,2,PRC,0.3833693955415313,0.28236799943650426
sub-09,3,PRC,0.3584215610149954,0.3010852506808486
sub-09,4,PRC,0.3394838191062212,0.31329114582360007
sub-10,1,PRC,0.3838172213309117,0.32592411516997577
sub-10,2,PRC,0.3881248618196276,0.36796857475327904
sub-10,3,PRC,0.40346939706399115,0.38705569958193575
sub-10,4,PRC,0.4320409149802066,0.29616539174769374
sub-11,1,PRC,0.43713097746798596,0.3017897768774483
sub-11,2,PRC,0.487940740199518,0.267051719356737
sub-11,3,PRC,0.510994092802106,0.25176291078721014
sub-11,4,PRC,0.5167496145435613,0.2528816402042744
sub-12,1,PRC,0.35093807307284985,0.2863128823589185
sub-12,2,PRC,0.3016942011320711,0.3167210520971506
sub-12,3,PRC,0.36073279586300805,0.3144685103331627
sub-12,4,PRC,0.32590351011879354,0.39028157962092747
sub-13,1,PRC,0.3555649456478944,0.27357217743985013
sub-13,2,PRC,0.3643642778418034,0.24254622150375388
sub-13,3,PRC,0.3821517594497966,0.2609606784666925
sub-13,4,PRC,0.37472222418303003,0.27343893592508817
sub-14,1,PRC,0.4082639849226354,0.29288715541738874
sub-14,2,PRC,0.35472294494576073,0.2662030015949362
sub-14,3,PRC,0.353675332672624,0.2709344018415688
sub-14,4,PRC,0.34719316186770927,0.28793530049772
sub-15,1,PRC,0.5357059935345388,0.27453791623247015
sub-15,2,PRC,0.4330178015236585,0.2585204503252469
sub-15,3,PRC,0.4044465136474551,0.3484991477792381
sub-15,4,PRC,0.37130304459250885,0.4232677383514314
sub-16,1,PRC,0.421909212214626,0.26513511161098174
sub-16,2,PRC,0.43171300886162123,0.28949012119024514
sub-16,3,PRC,0.442105604098957,0.28118447474899966
sub-16,4,PRC,0.6294191620222642,0.21852338239387642
sub-18,1,PRC,0.38957368392063557,0.2780677033243169
sub-18,2,PRC,0.4900346177885756,0.23136062580332628
sub-18,3,PRC,0.47866514129480736,0.2462024795220059
sub-18,4,PRC,0.5140098284806927,0.23094653225795267
sub-19,1,PRC,0.27783848153068064,0.29353486990467376
sub-19,2,PRC,0.28828116482228905,0.30005493785767906
sub-19,3,PRC,0.33922914211273064,0.24913372685619592
sub-19,4,PRC,0.32273926669308023,0.2753056311041329
sub-21,1,PRC,0.3251796034226094,0.3277508997880663
sub-21,2,PRC,0.38250219148667064,0.34583128998174584
sub-21,3,PRC,0.3210321411659278,0.3665798779460878
sub-21,4,PRC,0.37102041824221976,0.3416586495141664
sub-22,1,PRC,0.4915557517819211,0.20943254421840354
sub-22,2,PRC,0.450659160902968,0.26718105229827616
sub-22,3,PRC,0.48536675278372676,0.24149712387039224
sub-22,4,PRC,0.44840473949117154,0.2738549063597814
sub-23,1,PRC,0.5942700684605275,0.2052760261396036
sub-23,2,PRC,0.5311734110213596,0.21594053914730488
